NewRecord,OldRecord,Date,Site,Block,Species,Units,FlowersPerUnit,TotalFlowers,PhotoID,AvgTallestFlower,PlotMortality,Coverage,Wind ,Temperature,Sky,VacuumTime,Notes,,,,,,,,,,
215,639,07/15/15,SWMREC,2,MOFI,269,1,269,33-37,103,0,100,3.3,73.9,clear,45,,,,,,,,,,,
216,647,07/15/15,SWMREC,4,MOFI,224,1,224,NA,99,0,95,3.3,73.9,clear,30,,,,,,,,,,,
217,654,07/15/15,SWMREC,3,MOFI,214,1,214,NA,97,0,95,3.3,73.9,clear,46,,,,,,,,,,,
218,657,07/15/15,SWMREC,1,MOFI,84,1,84,NA,90,0,85,3.3,73.9,clear,26,,,,,,,,,,,
219,765,07/21/15,SWMREC,1,MOFI,107,1,107,191-195,86,0,75,4.4,74,clear,13,,,,,,,,,,,
220,787,07/21/15,SWMREC,2,MOFI,196,2,392,NA,103,0,100,4.4,74,clear,38,counted half of plot,,,,,,,,,,
221,797,07/21/15,SWMREC,3,MOFI,218,1,218,NA,96.5,0,95,4.4,74,clear,37,,,,,,,,,,,
222,802,07/21/15,SWMREC,4,MOFI,167,1,167,NA,96,0,95,4.4,74,clear,32,,,,,,,,,,,
223,942,07/29/15,SWMREC,1,MOFI,66,1,66,NA,85,,75,,,,23,,,,,,,,,,,
224,959,07/29/15,SWMREC,2,MOFI,220,1,220,NA,86,,98,,,,35,,,,,,,,,,,
225,978,07/29/15,SWMREC,3,MOFI,116,1,116,NA,91,,80,,,,46,,,,,,,,,,,
226,999,07/29/15,SWMREC,4,MOFI,97,1,97,NA,104,,70,,,,32,,,,,,,,,,,
227,1093,08/04/15,SWMREC,1,MOPU,8,5.6,44.8,NA,33,2,10,11,78.3,clear,4,,,,,,,,,,,
228,1097,08/04/15,SWMREC,2,MOPU,738,5.6,4132.8,106-110,74,0,100,11,78.3,clear,58,,,,,,,,,,,
229,1127,08/04/15,SWMREC,3,MOPU,558,5.6,3124.8,NA,64,1,60,11,78.3,clear,31,,,,,,,,,,,
230,1143,08/04/15,SWMREC,4,MOPU,280,5.6,1568,NA,71,0,80,11,78.3,clear,35,,,,,,,,,,,
231,1449,08/12/15,SWMREC,1,MOPU,9,4.4,39.6,355-359,32,2,10,4.2,73.3,clear,3,,,,,,,,,,,
232,1453,08/12/15,SWMREC,2,MOPU,742,9.6,7123.2,NA,78,1,100,4.2,73.3,clear,50,,,,,,,,,,,
233,1479,08/12/15,SWMREC,4,MOPU,113,9.6,1084.8,NA,84,1,80,4.2,73.3,clear,43,,,,,,,,,,,
234,1493,08/12/15,SWMREC,3,MOPU,471,9.6,4521.6,NA,64,0,85,4.2,73.3,clear,43,,,,,,,,,,,
235,1651,08/21/15,SWMREC,1,MOPU,21,1,21,NA,37,2,5,5.2,78.7,partly cloudy,4,counted flowers individually since so few,,,,,,,,,,
236,1652,08/21/15,SWMREC,2,MOPU,324,2.4,777.6,61-65,74,1,100,5.2,78.7,partly cloudy,47,,,,,,,,,,,
237,1678,08/21/15,SWMREC,4,MOPU,254,6.2,1574.8,NA,82,0,95,5.2,78.7,partly cloudy,33,,,,,,,,,,,
238,1692,08/21/15,SWMREC,3,MOPU,226,6.2,1401.2,NA,70,1,95,5.2,78.7,partly cloudy,54,,,,,,,,,,,
239,450,07/02/15,SWMREC,1,OEFR,51,1,51,17-21,54,1,25,10,69,clear,12,,,,,,,,,,,
240,467,07/02/15,SWMREC,3,OEFR,59,1,59,NA,69,1,30,8.5,70,partly cloudy,17,,,,,,,,,,,
241,469,07/02/15,SWMREC,4,OEFR,28,1,28,NA,61,0,25,8.5,70,partly cloudy,15,,,,,,,,,,,
242,522,07/08/15,SWMREC,1,OEFR,58,1,58,16-20,57.5,1,25,5.3,65,cloudy,9,,,,,,,,,,,
243,539,07/08/15,SWMREC,3,OEFR,85,1,85,NA,72,0,30,5.3,65,cloudy,19,,,,,,,,,,,
244,541,07/08/15,SWMREC,4,OEFR,70,1,70,NA,60,0,30,5.3,65,cloudy,13,,,,,,,,,,,
245,642,07/15/15,SWMREC,3,OEFR,45,1,45,48-52,68,0,35,3.3,73.9,clear,15,,,,,,,,,,,
246,644,07/15/15,SWMREC,4,OEFR,45,1,45,NA,64.5,0,30,3.3,73.9,clear,10,,,,,,,,,,,
247,662,07/15/15,SWMREC,1,OEFR,35,1,35,NA,63,1,30,3.3,73.9,clear,8,,,,,,,,,,,
248,1820,08/26/15,SWMREC,4,OEBI,32,1,32,NA,100,2,100,7.2,65.8,partly cloudy,42,,,,,,,,,,,
249,1980,09/01/15,SWMREC,4,OEBI,45,1,45,45-54,111,2,100,,,,28,,,,,,,,,,,
250,2134,09/09/15,SWMREC,4,OEBI,19,1,19,NA,96,2,80,,,overcast,12,,,,,,,,,,,
251,1787,08/26/15,SWMREC,1,OLRI,123,22.6,2779.8,NA,103,0,85,7.2,65.8,partly cloudy,39,,,,,,,,,,,
252,1798,08/26/15,SWMREC,2,OLRI,138,22.6,3118.8,NA,102,0,85,7.2,65.8,partly cloudy,33,,,,,,,,,,,
253,1816,08/26/15,SWMREC,4,OLRI,72,14.8,1065.6,NA,112,0,90,7.2,65.8,partly cloudy,30,,,,,,,,,,,
254,1822,08/26/15,SWMREC,3,OLRI,48,14.8,710.4,NA,114,0,85,7.2,65.8,partly cloudy,33,,,,,,,,,,,
255,1961,09/01/15,SWMREC,1,OLRI,207,16.6,3436.2,NA,130,0,70,,,,32,,,,,,,,,,,
256,1970,09/01/15,SWMREC,2,OLRI,331,16.6,5494.6,NA,124,0,95,,,,48,,,,,,,,,,,
257,1979,09/01/15,SWMREC,3,OLRI,204,16.6,3386.4,NA,118,0,75,,,,26,,,,,,,,,,,
258,1984,09/01/15,SWMREC,4,OLRI,118,16.6,1958.8,NA,112,0,70,,,,20,,,,,,,,,,,
259,2116,09/09/15,SWMREC,1,OLRI,168,1,168,NA,92,0,80,,,overcast,32,,,,,,,,,,,
260,2122,09/09/15,SWMREC,2,OLRI,328,23.6,7740.8,NA,132,0,95,,,overcast,39,,,,,,,,,,,
261,2127,09/09/15,SWMREC,3,OLRI,204,23.6,4814.4,NA,112,0,75,,,overcast,39,,,,,,,,,,,
262,2132,09/09/15,SWMREC,4,OLRI,59,23.6,1392.4,NA,99,0,75,,,overcast,13,,,,,,,,,,,
263,205,06/17/15,SWMREC,1,PEDI,220,1,220,237-241,96,0,70,6.7,64.8,partly cloudy,26,,,,,,,,,,,
264,207,06/17/15,SWMREC,2,PEDI,268,1,268,242-246,94.5,0,60,6.7,64.8,partly cloudy,19,,,,,,,,,,,
265,214,06/17/15,SWMREC,3,PEDI,19,1,19,282-286,76.5,0,30,6.7,64.8,partly cloudy,7,,,,,,,,,,,
266,221,06/17/15,SWMREC,4,PEDI,85,1,85,309-313,79,0,20,6.7,64.8,partly cloudy,8,,,,,,,,,,,
267,306,06/24/15,SWMREC,1,PEDI,287,1,287,204-208,101,0,50,2.6,77,overcast,32,,,,,,,,,,,
268,308,06/24/15,SWMREC,2,PEDI,89,1,89,214-218,94.5,0,40,2.6,77,overcast,16,,,,,,,,,,,
269,311,06/24/15,SWMREC,3,PEDI,21,1,21,229-233,76.5,0,30,2.6,77,overcast,6,,,,,,,,,,,
270,319,06/24/15,SWMREC,4,PEDI,32,1,32,264-268,82.5,0,30,2.6,77,overcast,8,,,,,,,,,,,
271,454,07/02/15,SWMREC,1,PEDI,179,1,179,NA,103,0,50,10,69,clear,23,,,,,,,,,,,
272,459,07/02/15,SWMREC,2,PEDI,33,1,33,NA,93,0,40,8.5,70,partly cloudy,12,,,,,,,,,,,
273,463,07/02/15,SWMREC,3,PEDI,15,1,15,NA,73,0,30,8.5,70,partly cloudy,7,,,,,,,,,,,
274,46,06/04/15,SWMREC,1,PEHI,NA,NA,246,121-130,52.5,NA,NA,NA,NA,NA,24,,,,,,,,,,,
276,63,06/04/15,SWMREC,3,PEHI,NA,NA,62,166-175,47,NA,NA,NA,NA,NA,15,,,,,,,,,,,
277,69,06/04/15,SWMREC,4,PEHI,NA,NA,11,201-210,42,NA,NA,NA,NA,NA,9,,,,,,,,,,,
278,112,06/10/15,SWMREC,2,PEHI,NA,NA,55,322-331,47.9,NA,NA,NA,NA,NA,9,,,,,,,,,,,
279,120,06/10/15,SWMREC,1,PEHI,NA,NA,219,387-396,56,NA,NA,NA,NA,NA,16,,,,,,,,,,,
280,123,06/10/15,SWMREC,3,PEHI,NA,NA,164,412-421,47,NA,NA,NA,NA,NA,12,,,,,,,,,,,
281,131,06/10/15,SWMREC,4,PEHI,NA,NA,37,452-461,42,NA,NA,NA,NA,NA,11,,,,,,,,,,,
282,198,06/17/15,SWMREC,1,PEHI,152,1,152,192-201,57,0,70,6.7,64.8,partly cloudy,10,"Plant data was taken on 6/17, but due to bad weather the vacuum and pollinator sampling did not happen until 6/19. Weather conditions are those of 6/19",,,,,,,,,,
283,210,06/17/15,SWMREC,2,PEHI,102,1,102,257-266,33.5,0,60,6.7,64.8,partly cloudy,12,,,,,,,,,,,
284,220,06/17/15,SWMREC,3,PEHI,117,1,117,331-340,46,0,30,6.7,64.8,partly cloudy,13,,,,,,,,,,,
285,225,06/17/15,SWMREC,4,PEHI,28,1,28,357-366,31,0,15,6.7,64.8,partly cloudy,18,,,,,,,,,,,
286,449,07/02/15,SWMREC,1,POAR7,6,1,6,12--16,57,2,15,10,69,clear,2,,,,,,,,,,,
287,523,07/08/15,SWMREC,1,POAR7,6,1,6,21-25,57.5,2,15,5.3,65,cloudy,4,,,,,,,,,,,
288,550,07/08/15,SWMREC,4,POAR7,5,1,5,NA,72,0,75,5.3,65,cloudy,2,,,,,,,,,,,
289,650,07/15/15,SWMREC,4,POAR7,7,1,7,58-62,73,0,80,3.3,73.9,clear,3,,,,,,,,,,,
290,3,05/28/15,SWMREC,1,POSI2,NA,NA,20,16-20,22,NA,NA,NA,NA,NA,36,lots growing just outside plot,,,,,,,,,,
291,4,05/28/15,SWMREC,2,POSI2,NA,NA,18,21-25,15.6,NA,NA,NA,NA,NA,19,90% flowering,,,,,,,,,,
292,9,05/28/15,SWMREC,3,POSI2,NA,NA,14,41-45,18,NA,NA,NA,NA,NA,16,some unopened buds,,,,,,,,,,
293,10,05/28/15,SWMREC,4,POSI2,NA,NA,10,31-35,17.2,NA,NA,NA,NA,NA,17,,,,,,,,,,,
294,50,06/04/15,SWMREC,1,POSI2,NA,NA,7,141-145,14,NA,NA,NA,NA,NA,18,,,,,,,,,,,
295,56,06/04/15,SWMREC,2,POSI2,NA,NA,10,146-150,19.1,NA,NA,NA,NA,NA,19,,,,,,,,,,,
296,65,06/04/15,SWMREC,4,POSI2,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA,no vacuuming or pictures since only 3 flowers,,,,,,,,,,
297,68,06/04/15,SWMREC,3,POSI2,NA,NA,7,175-180,14.6,NA,NA,NA,NA,NA,13,,,,,,,,,,,
298,1092,08/04/15,SWMREC,1,PYPI,93,7.4,688.2,91-95,77,0,45,11,78.3,clear,21,retroactively changed #flowers/unit to 7.4,,,,,,,,,,
299,1110,08/04/15,SWMREC,2,PYPI,379,7.4,2804.6,NA,75,0,45,11,78.3,partly cloudy,18,retroactively changed #flowers/unit to 7.4,,,,,,,,,,
300,1129,08/04/15,SWMREC,3,PYPI,346,7.4,2560.4,NA,93,0,45,11,78.3,clear,24,retroactively changed #flowers/unit to 7.4,,,,,,,,,,
301,1133,08/04/15,SWMREC,4,PYPI,106,7.4,784.4,NA,47,0,40,11,78.3,clear,17,retroactively changed #flowers/unit to 7.4,,,,,,,,,,
302,1450,08/12/15,SWMREC,1,PYPI,164,7.4,1213.6,345-349,76,0,40,4.2,73.3,clear,16,,,,,,,,,,,
303,1461,08/12/15,SWMREC,2,PYPI,482,7.4,3566.8,NA,76,0,50,4.2,73.3,clear,24,,,,,,,,,,,
304,1489,08/12/15,SWMREC,4,PYPI,291,7.4,2153.4,NA,57,0,60,4.2,73.3,clear,14,,,,,,,,,,,
305,1494,08/12/15,SWMREC,3,PYPI,893,7.4,6608.2,NA,93,0,70,4.2,73.3,clear,28,,,,,,,,,,,
306,1648,08/21/15,SWMREC,1,PYPI,219,7,1533,46-50,75,0,50,5.2,78.7,partly cloudy,23,,,,,,,,,,,
307,1661,08/21/15,SWMREC,2,PYPI,236,4.2,991.2,NA,72,0,60,5.2,78.7,partly cloudy,31,,,,,,,,,,,
308,1685,08/21/15,SWMREC,4,PYPI,257,5.6,1439.2,NA,47,0,50,5.2,78.7,partly cloudy,21,averaged 7 and 4.2 to get 5.6,,,,,,,,,,
309,1691,08/21/15,SWMREC,3,PYPI,228,5.6,1276.8,NA,93,0,85,5.2,78.7,partly cloudy,32,,,,,,,,,,,
310,764,07/21/15,SWMREC,1,PYVI,648,1,648,189-190,75,0,60,4.4,74,clear,14,counted half and doubled it,,,,,,,,,,
311,790,07/21/15,SWMREC,2,PYVI,332,1,332,NA,65,0,60,4.4,74,clear,16,,,,,,,,,,,
312,795,07/21/15,SWMREC,3,PYVI,347,1,347,NA,74,1,50,4.4,74,clear,15,,,,,,,,,,,
313,800,07/21/15,SWMREC,4,PYVI,328,1,328,NA,69,0,75,4.4,74,clear,26,,,,,,,,,,,
314,936,07/29/15,SWMREC,1,PYVI,99,23.4,2316.6,38-42,109,,55,,,,26,,,,,,,,,,,
315,958,07/29/15,SWMREC,2,PYVI,86,23.4,2012.4,NA,70,,50,,,,23,,,,,,,,,,,
316,971,07/29/15,SWMREC,3,PYVI,114,23.4,2667.6,NA,70,,40,,,,30,,,,,,,,,,,
317,992,07/29/15,SWMREC,4,PYVI,99,23.4,2316.6,NA,74,,65,,,,26,,,,,,,,,,,
318,1079,08/04/15,SWMREC,1,PYVI,1629,1,1629,17-21,78,0,50,11,78.3,clear,27,,,,,,,,,,,
319,1105,08/04/15,SWMREC,2,PYVI,1304,1,1304,NA,68,0,65,11,78.3,partly cloudy,22,,,,,,,,,,,
320,1117,08/04/15,SWMREC,3,PYVI,737,1,737,NA,74,0,55,11,78.3,partly cloudy,28,,,,,,,,,,,
321,1155,08/04/15,SWMREC,4,PYVI,1212,1,1212,NA,71,0,85,11,78.3,partly cloudy,26,,,,,,,,,,,
322,772,07/21/15,SWMREC,1,RAPI,20,1,20,225-229,108,0,80,4.4,74,clear,13,,,,,,,,,,,
323,786,07/21/15,SWMREC,2,RAPI,99,1,99,NA,127,0,100,4.4,74,clear,42,,,,,,,,,,,
324,807,07/21/15,SWMREC,4,RAPI,29,1,29,NA,111,0,95,4.4,74,clear,19,,,,,,,,,,,
325,943,07/29/15,SWMREC,1,RAPI,84,1,84,NA,115,,60,,,,29,,,,,,,,,,,
326,960,07/29/15,SWMREC,2,RAPI,186,1,186,NA,128,,85,,,,50,,,,,,,,,,,
327,974,07/29/15,SWMREC,3,RAPI,23,1,23,NA,114,,55,,,,20,,,,,,,,,,,
328,985,07/29/15,SWMREC,4,RAPI,73,1,73,NA,112,,50,,,,29,,,,,,,,,,,
329,1085,08/04/15,SWMREC,1,RAPI,117,1,117,56-60,109,0,60,11,78.3,clear,36,,,,,,,,,,,
330,1107,08/04/15,SWMREC,2,RAPI,230,1,230,NA,136,0,100,11,78.3,partly cloudy,51,,,,,,,,,,,
331,1119,08/04/15,SWMREC,3,RAPI,33,1,33,NA,112,0,80,11,78.3,partly cloudy,16,,,,,,,,,,,
332,1135,08/04/15,SWMREC,4,RAPI,43,1,43,NA,101,0,40,11,78.3,clear,24,,,,,,,,,,,
333,977,07/29/15,SWMREC,3,RHCO,71,1,71,NA,64,,60,,,,11,,,,,,,,,,,
334,1122,08/04/15,SWMREC,3,RHCO,36,29.6,1065.6,131-135,66,0,80,11,78.3,partly cloudy,7,,,,,,,,,,,
335,1466,08/12/15,SWMREC,2,RHCO,213,1,213,375-376,66,0,90,4.2,73.3,clear,7,,,,,,,,,,,
336,1496,08/12/15,SWMREC,3,RHCO,32,1,32,NA,65,0,80,4.2,73.3,clear,3,,,,,,,,,,,
337,521,07/08/15,SWMREC,1,RUHI2,53,1,53,11--15,83.5,0,35,5.3,65,cloudy,18,,,,,,,,,,,
338,531,07/08/15,SWMREC,2,RUHI2,157,1,157,NA,88,0,75,5.3,65,cloudy,25,,,,,,,,,,,
339,549,07/08/15,SWMREC,4,RUHI2,106,1,106,NA,80.5,2,70,5.3,65,cloudy,24,,,,,,,,,,,
340,554,07/08/15,SWMREC,3,RUHI2,47,1,47,NA,58,1,40,5.3,65,cloudy,16,,,,,,,,,,,
341,635,07/15/15,SWMREC,2,RUHI2,142,1,142,18-22,87,0,75,3.3,73.9,clear,39,,,,,,,,,,,
342,651,07/15/15,SWMREC,4,RUHI2,90,1,90,NA,78,2,60,3.3,73.9,clear,20,,,,,,,,,,,
343,653,07/15/15,SWMREC,3,RUHI2,66,1,66,NA,52,1,35,3.3,73.9,clear,16,,,,,,,,,,,
344,661,07/15/15,SWMREC,1,RUHI2,56,1,56,NA,80.5,0,30,3.3,73.9,clear,18,,,,,,,,,,,
345,768,07/21/15,SWMREC,1,RUHI2,73,1,73,206-210,81.5,0,35,4.4,74,clear,11,,,,,,,,,,,
346,781,07/21/15,SWMREC,2,RUHI2,213,1,213,NA,83.5,0,90,4.4,74,clear,45,,,,,,,,,,,
347,806,07/21/15,SWMREC,4,RUHI2,98,1,98,NA,66.5,2,60,4.4,74,clear,23,,,,,,,,,,,
348,812,07/21/15,SWMREC,3,RUHI2,73,1,73,NA,49,1,50,4.4,74,clear,15,,,,,,,,,,,
349,2,05/28/15,SWMREC,1,SEOB2,NA,NA,61,11--15,53.7,NA,NA,NA,NA,NA,11,all flowers open,,,,,,,,,,
350,5,05/28/15,SWMREC,2,SEOB2,NA,NA,24,26-30,47.1,NA,NA,NA,NA,NA,8,,,,,,,,,,,
351,8,05/28/15,SWMREC,3,SEOB2,NA,NA,213,36-40,60.5,NA,NA,NA,NA,NA,17,"all flowers open, peak",,,,,,,,,,
352,12,05/28/15,SWMREC,4,SEOB2,NA,NA,30,46-50,52.5,NA,NA,NA,NA,NA,12,peak,,,,,,,,,,
354,57,06/04/15,SWMREC,2,SEOB2,NA,NA,12,156-160,44,NA,NA,NA,NA,NA,10,almost done flowering,,,,,,,,,,
355,67,06/04/15,SWMREC,3,SEOB2,NA,NA,30,186-190,57.9,NA,NA,NA,NA,NA,13,"1/2 flowering, 1/2 seeding",,,,,,,,,,
357,1644,08/21/15,SWMREC,1,SIIN2,12,1,12,26-30,144,0,40,5.2,78.7,partly cloudy,16,,,,,,,,,,,
358,1655,08/21/15,SWMREC,2,SIIN2,41,1,41,NA,152,0,50,5.2,78.7,partly cloudy,29,,,,,,,,,,,
359,1666,08/21/15,SWMREC,3,SIIN2,62,1,62,NA,159,0,55,5.2,78.7,partly cloudy,35,,,,,,,,,,,
360,1675,08/21/15,SWMREC,4,SIIN2,6,1,6,NA,119,0,30,5.2,78.7,partly cloudy,6,,,,,,,,,,,
361,1789,08/26/15,SWMREC,1,SIIN2,39,1,39,NA,137,0,65,7.2,65.8,partly cloudy,19,,,,,,,,,,,
362,1796,08/26/15,SWMREC,2,SIIN2,62,1,62,NA,144,0,70,7.2,65.8,partly cloudy,22,,,,,,,,,,,
363,1804,08/26/15,SWMREC,3,SIIN2,103,1,103,NA,160,0,65,7.2,65.8,partly cloudy,34,,,,,,,,,,,
364,1819,08/26/15,SWMREC,4,SIIN2,5,1,5,NA,119,0,30,7.2,65.8,partly cloudy,5,,,,,,,,,,,
365,1963,09/01/15,SWMREC,1,SIIN2,47,1,47,NA,157,0,60,,,,25,,,,,,,,,,,
366,1975,09/01/15,SWMREC,3,SIIN2,97,1,97,NA,157,0,50,,,,29,,,,,,,,,,,
367,1981,09/01/15,SWMREC,4,SIIN2,6,1,6,NA,119,0,40,,,,9,,,,,,,,,,,
368,1999,09/01/15,SWMREC,2,SIIN2,28,1,28,NA,144,0,40,,,,20,,,,,,,,,,,
369,1817,08/26/15,SWMREC,4,SITE,7,1,7,NA,163,0,40,7.2,65.8,partly cloudy,9,,,,,,,,,,,
370,1985,09/01/15,SWMREC,4,SITE,5,1,5,59-63,147,0,40,,,,6,,,,,,,,,,,
371,1451,08/12/15,SWMREC,2,SOJU,106,42.2,4473.2,350-354,107,0,55,4.2,73.3,clear,24,,,,,,,,,,,
372,1495,08/12/15,SWMREC,3,SOJU,19,42.2,801.8,NA,83,0,90,4.2,73.3,clear,10,,,,,,,,,,,
373,1654,08/21/15,SWMREC,2,SOJU,147,39.6,5821.2,66-70,110,0,70,5.2,78.7,partly cloudy,24,,,,,,,,,,,
374,1690,08/21/15,SWMREC,3,SOJU,23,39.6,910.8,NA,69,0,100,5.2,78.7,partly cloudy,5,most of plants not flowering,,,,,,,,,,
375,1794,08/26/15,SWMREC,2,SOJU,83,21.6,1792.8,NA,87,0,75,7.2,65.8,partly cloudy,19,,,,,,,,,,,
376,1805,08/26/15,SWMREC,3,SOJU,22,21.6,475.2,NA,62,0,75,7.2,65.8,partly cloudy,5,,,,,,,,,,,
377,780,07/21/15,SWMREC,2,SONE,328,52,17056,256-260,123,0,100,4.4,74,clear,36,,,,,,,,,,,
379,963.3,07/29/15,SWMREC,2,SONE,268,34,9112,NA,NA,0,95,,,,34,,,,,,,,,,,
381,1000.1,07/29/15,SWMREC,4,SONE,102,45,4590,NA,NA,,,,,,16,,,,,,,,,,,
382,1094,08/04/15,SWMREC,2,SONE,134,38.6,5172.4,96-100,133,0,95,11,78.3,clear,39,,,,,,,,,,,
383,1130,08/04/15,SWMREC,4,SONE,98,38.6,3782.8,NA,83,1,45,11,78.3,clear,11,,,,,,,,,,,
384,1965,09/01/15,SWMREC,1,SYSE2,333,1,333,22-26,61,0,80,,,,31,,,,,,,,,,,
385,1972,09/01/15,SWMREC,2,SYSE2,88,1,88,NA,59,1,40,,,,19,,,,,,,,,,,
386,1974,09/01/15,SWMREC,3,SYSE2,296,1,296,NA,67,0,95,,,,21,,,,,,,,,,,
387,1983,09/01/15,SWMREC,4,SYSE2,250,1,250,NA,69,0,80,,,,25,,,,,,,,,,,
388,2118,09/09/15,SWMREC,1,SYSE2,233,1,233,NA,39,0,60,,,overcast,23,,,,,,,,,,,
389,2123,09/09/15,SWMREC,2,SYSE2,74,1,74,NA,54,0,40,,,overcast,12,,,,,,,,,,,
390,2124,09/09/15,SWMREC,3,SYSE2,364,1,364,NA,51,0,60,,,overcast,24,,,,,,,,,,,
391,2130,09/09/15,SWMREC,4,SYSE2,425,1,425,NA,70,0,80,,,overcast,28,,,,,,,,,,,
392,2214,09/16/15,SWMREC,1,SYSE2,217,1,217,NA,59,0,70,6.2,77.9,clear,20,,,,,,,,,,,
393,2218,09/16/15,SWMREC,2,SYSE2,107,1,107,NA,51,1,40,6.2,77.9,clear,12,,,,,,,,,,,
394,2219,09/16/15,SWMREC,3,SYSE2,289,1,289,NA,55,0,60,6.2,77.9,clear,22,,,,,,,,,,,
395,2224,09/16/15,SWMREC,4,SYSE2,320,1,320,NA,68,0,70,6.2,77.9,clear,27,,,,,,,,,,,
396,204,06/17/15,SWMREC,1,TROH,89,1,89,232-236,71,0,80,6.7,64.8,partly cloudy,26,,,,,,,,,,,
397,208,06/17/15,SWMREC,2,TROH,190,1,190,247-251,79.5,0,90,6.7,64.8,partly cloudy,36,,,,,,,,,,,
398,218,06/17/15,SWMREC,4,TROH,139,1,139,320-324,78,0,65,6.7,64.8,partly cloudy,30,,,,,,,,,,,
399,227,06/17/15,SWMREC,3,TROH,133,1,133,NA,118,0,55,6.7,64.8,partly cloudy,30,flowers closed,,,,,,,,,,
400,301,06/24/15,SWMREC,1,TROH,92,1,92,179-183,64.5,0,40,2.6,77,overcast,30,,,,,,,,,,,
401,307,06/24/15,SWMREC,2,TROH,169,1,169,209-213,79.5,0,90,2.6,77,overcast,33,,,,,,,,,,,
402,316,06/24/15,SWMREC,4,TROH,153,1,153,249-253,85,0,80,2.6,77,overcast,24,,,,,,,,,,,
403,322,06/24/15,SWMREC,3,TROH,102,1,102,279-283,105,0,50,2.6,77,overcast,23,flowers totally closed for vacuuming,,,,,,,,,,
404,446,07/02/15,SWMREC,1,TROH,48,1,48,NA,60,0,65,10,69,clear,23,,,,,,,,,,,
405,458,07/02/15,SWMREC,2,TROH,134,1,134,NA,81,0,90,8.5,70,partly cloudy,35,,,,,,,,,,,
406,470,07/02/15,SWMREC,4,TROH,71,1,71,NA,84.5,0,90,8.5,70,partly cloudy,39,,,,,,,,,,,
407,477,07/02/15,SWMREC,3,TROH,125,1,125,NA,109,0,80,8.5,70,partly cloudy,42,,,,,,,,,,,
408,770,07/21/15,SWMREC,1,VEST,101,5,505,218-222,84,1,50,4.4,74,clear,14,,,,,,,,,,,
409,777,07/21/15,SWMREC,2,VEST,343,5,1715,NA,78,0,100,4.4,74,clear,19,,,,,,,,,,,
410,792,07/21/15,SWMREC,3,VEST,97,5,485,NA,91.5,0,80,4.4,74,clear,21,,,,,,,,,,,
411,809,07/21/15,SWMREC,4,VEST,113,5,565,NA,85,0,55,4.4,74,clear,18,,,,,,,,,,,
412,1003,07/30/15,SWMREC,1,VEST,161,10,1610,1--5,79,1,50,,,,21,lab camera,,,,,,,,,,
413,1004,07/30/15,SWMREC,2,VEST,362,10,3620,NA,79,0,90,,,,39,,,,,,,,,,,
414,1005,07/30/15,SWMREC,3,VEST,134,10,1340,NA,100,0,60,,,,33,,,,,,,,,,,
415,1006,07/30/15,SWMREC,4,VEST,140,10,1400,NA,91,0,55,,,,33,,,,,,,,,,,
416,1086,08/04/15,SWMREC,1,VEST,118,11.2,1321.6,61-65,79,0,50,11,78.3,clear,24,,,,,,,,,,,
417,1098,08/04/15,SWMREC,2,VEST,338,11.2,3785.6,NA,85,0,100,11,78.3,clear,36,,,,,,,,,,,
418,1112,08/04/15,SWMREC,3,VEST,82,11.2,918.4,NA,108,0,70,11,78.3,partly cloudy,28,,,,,,,,,,,
419,1134,08/04/15,SWMREC,4,VEST,107,11.2,1198.4,NA,89,0,35,11,78.3,clear,22,,,,,,,,,,,
420,269,06/23/15,CRC,1,ACMI2,91,125,11375,57-61,88,0,95,11,73,clear,24,,,,,,,,,,,
421,275,06/23/15,CRC,2,ACMI2,88,129.4,11387.2,87-91,68,0,95,11,73,clear,36,,,,,,,,,,,
422,278,06/23/15,CRC,3,ACMI2,24,145,3480,103-107,83.5,0,60,11,73,clear,22,,,,,,,,,,,
423,281,06/23/15,CRC,4,ACMI2,129,145,18705,118-122,82.5,0,75,11,73,clear,30,,,,,,,,,,,
424,410,06/29/15,CRC,1,ACMI2,86,120.6,10371.6,14-18,90,0,95,,,cloudy,39,,,,,,,,,,,
425,420,06/29/15,CRC,2,ACMI2,63,120.6,7597.8,68-70,77,0,80,,,cloudy,38,,,,,,,,,,,
426,425,06/29/15,CRC,3,ACMI2,21,120.6,2536.6,NA,85,1,50,,,cloudy,30,,,,,,,,,,,
427,432,06/29/15,CRC,4,ACMI2,95,120.6,11457,NA,84,0,90,,,cloudy,40,,,,,,,,,,,
428,488,07/06/15,CRC,1,ACMI2,83,145,12035,59-63,90,0,95,,,,44,,,,,,,,,,,
429,498,07/06/15,CRC,2,ACMI2,65,145,9425,NA,66,0,100,,,,32,,,,,,,,,,,
430,505,07/06/15,CRC,3,ACMI2,41,145,5945,NA,83.5,1,50,,,,37,,,,,,,,,,,
431,508,07/06/15,CRC,4,ACMI2,86,145,12470,NA,86.5,0,90,,,,39,,,,,,,,,,,
432,694,07/16/15,CRC,3,AMCA6,9,1,9,130-134,47,0,45,3.1,69,cloudy,4,,,,,,,,,,,
433,854,07/23/15,CRC,3,AMCA6,8,1,8,112-117,51,0,40,4.4,74.1,partly cloudy,4,,,,,,,,,,,
434,690,07/16/15,CRC,2,ASSY,29,1,29,118-119,98,0,60,3.1,69,cloudy,4,,,,,,,,,,,
